"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","LIFEEXP","TOT","YR","A","2018",82.7,
"AUT","LIFEEXP","TOT","YR","A","2018",81.8,
"BEL","LIFEEXP","TOT","YR","A","2018",81.7,
"CAN","LIFEEXP","TOT","YR","A","2018",81.9,
"CZE","LIFEEXP","TOT","YR","A","2018",79.1,
"DNK","LIFEEXP","TOT","YR","A","2018",81,
"FIN","LIFEEXP","TOT","YR","A","2018",81.8,
"FRA","LIFEEXP","TOT","YR","A","2018",82.8,
"DEU","LIFEEXP","TOT","YR","A","2018",81,
"GRC","LIFEEXP","TOT","YR","A","2018",81.9,
"HUN","LIFEEXP","TOT","YR","A","2018",76.2,
"ISL","LIFEEXP","TOT","YR","A","2018",82.9,
"IRL","LIFEEXP","TOT","YR","A","2018",82.2,
"ITA","LIFEEXP","TOT","YR","A","2018",83.4,
"JPN","LIFEEXP","TOT","YR","A","2018",84.3,"E"
"KOR","LIFEEXP","TOT","YR","A","2018",82.7,
"LUX","LIFEEXP","TOT","YR","A","2018",82.3,
"MEX","LIFEEXP","TOT","YR","A","2018",75,
"NLD","LIFEEXP","TOT","YR","A","2018",81.9,
"NZL","LIFEEXP","TOT","YR","A","2018",81.7,
"NOR","LIFEEXP","TOT","YR","A","2018",82.8,
"POL","LIFEEXP","TOT","YR","A","2018",77.7,
"PRT","LIFEEXP","TOT","YR","A","2018",81.5,
"SVK","LIFEEXP","TOT","YR","A","2018",77.4,
"ESP","LIFEEXP","TOT","YR","A","2018",83.5,
"SWE","LIFEEXP","TOT","YR","A","2018",82.6,
"CHE","LIFEEXP","TOT","YR","A","2018",83.8,
"TUR","LIFEEXP","TOT","YR","A","2018",78.3,
"GBR","LIFEEXP","TOT","YR","A","2018",81.3,"E"
"USA","LIFEEXP","TOT","YR","A","2018",78.7,
"BRA","LIFEEXP","TOT","YR","A","2018",75.7,
"CHL","LIFEEXP","TOT","YR","A","2018",80.4,
"CHN","LIFEEXP","TOT","YR","A","2018",76.7,
"EST","LIFEEXP","TOT","YR","A","2018",78.5,
"IND","LIFEEXP","TOT","YR","A","2018",69.4,
"IDN","LIFEEXP","TOT","YR","A","2018",71.5,
"ISR","LIFEEXP","TOT","YR","A","2018",82.9,
"RUS","LIFEEXP","TOT","YR","A","2018",72.8,
"SVN","LIFEEXP","TOT","YR","A","2018",81.5,
"ZAF","LIFEEXP","TOT","YR","A","2018",63.9,
"COL","LIFEEXP","TOT","YR","A","2018",76.5,
"LVA","LIFEEXP","TOT","YR","A","2018",75.1,
"LTU","LIFEEXP","TOT","YR","A","2018",76,
"CRI","LIFEEXP","TOT","YR","A","2018",80.3,
"ARG","LIFEEXP","TOT","YR","A","2018",76.5,
"BGR","LIFEEXP","TOT","YR","A","2018",75,
"HRV","LIFEEXP","TOT","YR","A","2018",78.2,
"PER","LIFEEXP","TOT","YR","A","2018",76.5,
"ROU","LIFEEXP","TOT","YR","A","2018",75.3,
